animeTitle	Promised Town
animeType	ONA
animeNumEpisode	1
releaseDate	2016-06-16 00:00:00
endDate	
animeNumMembers	694
animeScore	5.22
animeUsers	227
animeRank	11085
animePopularity	12080
animeDescription	"Year 20XX 
W.I , Inc. has developed a humanoid weapon with high combat performance and advanced artificial intelligence (Clone-type robot), plotting a world invasion using those robots for war.

Luka, a Clone-type robot, awakens and feels a strong urge to reunite with Kento, who was remodeled as the Clone-type robot Z1.

(Source: Official Site)"
animeRelated	[]
animeCharacters	['Kento', 'Luka']
animeVoices	['Satou, Yuugo', 'Ichimichi, Mao']
animeStaff	[]
