animeTitle	Ojamanga Yamada-kun
animeType	TV
animeNumEpisode	103
releaseDate	1980-09-28 00:00:00
endDate	1982-10-10 00:00:00
animeNumMembers	
animeScore	6.17
animeUsers	115
animeRank	
animePopularity	12342
animeDescription	"TV anime adaptation of Hisaichi Ishii's comedy manga ""Ojamanga Yamada-kun""."
animeRelated	['Ojamanga Yamada-kun (Movie)']
animeCharacters	['Sanae']
animeVoices	[]
animeStaff	"[['Mitsunobu, Hiroyoshi', 'Director'], ['Kaneko, Yutaka', 'Script'], [""Koorogi '73"", 'Theme Song Performance, Inserted Song Performance'], ['Takada, Hiroshi', 'Theme Song Arrangement']]"
