animeTitle	GO-GO Tamagotchi!
animeType	TV
animeNumEpisode	50
releaseDate	2014-04-03 00:00:00
endDate	2015-03-26 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12752
animeDescription	New series of Tamagotchi!.
animeRelated	['Tamagotchi! Miracle Friends', 'Tamagotchi! Tamatomo Daishuu GO']
animeCharacters	['Memetchi', 'Lovesoracchi', 'KuroMametchi']
animeVoices	['Kanada, Aki']
animeStaff	[['Nitta, Norio', 'Episode Director'], ['Nakano, Satoshi', 'Animation Director'], ['Shouji, Yasukazu', 'Animation Director, Chief Animation Director, Character Design']]
