animeTitle	Shounen Ashibe
animeType	OVA
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	15191
animeDescription	After moving to a new town, a young boy comes across a lone baby seal. They become fast friends and enjoy everyday life together.
animeRelated	['Shounen Ashibe']
animeCharacters	['Goma-chan', 'Ashiya, Ashibe']
animeVoices	['Koorogi, Satomi', 'Takayama, Minami']
animeStaff	[['Ishiguro, Noboru', 'Director'], ['Morishita, Hiromi', 'Original Creator'], ['Arakawa, Toshiyuki', 'Music']]
