animeTitle	b'DJ Nobunaga'
animeType	b'ONA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""A promotional short for DJ Nobunaga's YYY event held on August 25th. The music event will feature 4 DJs (Nakata Yasutaka, Kz (livetune +), Tofubeats, and Banvox) and starts at 11pm. The anime short has the four DJs rap about Oda Nobunaga, the historical character, as a tongue-in-cheek nod to DJ Nobunaga presenting this event."""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
