animeTitle	Renketsu Houshiki
animeType	OVA
animeNumEpisode	3
releaseDate	2008-01-25 00:00:00
endDate	2008-09-26 00:00:00
animeNumMembers	8626
animeScore	6.63
animeUsers	2876
animeRank	
animePopularity	5627
animeDescription	"Keisuke's father has informed his mother as well as Keisuke and Misaki that he has been diagnosed with cancer. And so, Keisuke announces that he wishes to inherit the family's liquor business and be married to the daughter of his father's former colleague. However, Keisuke's sister Misaki does not give her blessing to the marriage. They are more than siblings. The both of them cross the threshold and make love all night and on the day that Keisuke's fiancé's family comes to meet with them. Misaki shows her desire for Keisuke and they mutually surrender themselves to each others' flesh.

(Source: BoxTorrents)"
animeRelated	[]
animeCharacters	['Misaki', 'Keisuke', 'Hirayama']
animeVoices	['Tanii, Asuka', 'Kamiya, Hiroshi', 'Takagi, Motoki']
animeStaff	[['Yokoyama, Hiromi', 'Director'], ['Lee, Si-Min', 'Animation Director, Character Design'], ['Yamamoto, Toshiyuki', 'Music'], ['Karino, Hasumi', 'Original Creator']]
