animeTitle	Puso Ni Comi
animeType	ONA
animeNumEpisode	20
releaseDate	
endDate	
animeNumMembers	
animeScore	6.56
animeUsers	276
animeRank	
animePopularity	10843
animeDescription	"An anime adaptation of Sega's Phantasy Star Online 2 game's official web manga Puso Ni Comi: Phantasy Star Online 2 Comic. The story follows the lax, less than weighty daily life of the ARKS force members. 

(Source: ANN)"
animeRelated	['Phantasy Star Online 2: Puso Ni Comi', 'Phantasy Star Online 2 The Animation', 'Phantasy Star Online 2: Episode Oracle', 'Puso Ni Comi: Okawari']
animeCharacters	['Tetra', 'Mitarashi']
animeVoices	[]
animeStaff	[]
