animeTitle	Manga Aesop Monogatari (TV)
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13519
animeDescription	Aesop is a trouble-making young boy who finds himself in another world filled with creatures he never believed to exist, such as fairies and talking donkeys. He sets off to find a way back to the nomal world. On his jouney he befriends many classical creatures from well-known fables and encounters many trials, each teaching him a valuable lesson. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
