animeTitle	Mobile Suit Gundam Thunderbolt 2nd Season
animeType	ONA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	7.27
animeUsers	9021
animeRank	
animePopularity	4165
animeDescription	The second season of Mobile Suit Gundam Thunderbolt.
animeRelated	['Kidou Senshi Gundam Thunderbolt', 'Mobile Suit Gundam Thunderbolt', 'Mobile Suit Gundam Thunderbolt: Bandit Flower']
animeCharacters	['Fleming, Io', 'Lorenz, Daryl', 'Carlyle, Bianca', 'Mitchum, Karla', 'Peer, Claudia', 'Morse, Sebastian', 'Ness, Fisher', 'Hickam, Billy', 'Kaka, Cornelius', 'Pike, Vincent']
animeVoices	['Nakamura, Yuuichi', 'Kimura, Ryouhei', 'Furukawa, Yurina', 'Ohara, Sayaka', 'Yukinari, Toa', 'Ueda, Youji', 'Koyama, Tsuyoshi', 'Oosaka, Ryouta', 'Hirakawa, Daisuke', 'Sugita, Tomokazu']
animeStaff	[['Matsuo, Kou', 'Director, Episode Director, Storyboard'], ['Yoshizawa, Toshikazu', 'Episode Director'], ['Ootagaki, Yasuo', 'Original Creator'], ['Takaya, Hirotoshi', 'Key Animation, Character Design, Animation Director']]
