animeTitle	Getsuyoubi no Tawawa
animeType	ONA
animeNumEpisode	12
releaseDate	2016-10-10 00:00:00
endDate	2016-12-26 00:00:00
animeNumMembers	105300
animeScore	6.45
animeUsers	35731
animeRank	6414
animePopularity	1625
animeDescription	"The anime follows a salaryman who has a chance meeting with a girl named Ai on the train. They begin to meet every Monday on the train, with the man serving as her bodyguard on the crowded commute while they chat.

(Source: ANN)"
animeRelated	['Getsuyoubi no Tawawa', 'Getsuyoubi no Tawawa Specials', 'Getsuyoubi no Tawawa 2']
animeCharacters	['Ai-chan', 'Kouhai-chan', 'Oniisan', 'Senpai', 'Volleyball-bu-chan', 'Tokumori-san', 'Shika Eiseishi-san', 'Trainer-san', 'Kachou']
animeVoices	['Harada, Sayaka', 'Kayano, Ai', 'Majima, Junji', 'Takumi, Yasuaki', 'Ishigami, Shizuka', 'Kanemoto, Hisako', 'Noto, Mamiko', 'Tsuda, Minami', 'Souma, Kouichi']
animeStaff	[['Oogami, Yuuma', 'Producer'], ['Murayama, Kousuke', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Harada, Sayaka', 'Theme Song Performance']]
