animeTitle	Shin Bikkuriman
animeType	TV
animeNumEpisode	72
releaseDate	1989-04-09 00:00:00
endDate	1990-08-26 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13860
animeDescription	"No synopsis has been added for this series yet.

Click here to update this information."
animeRelated	['Bikkuriman', 'Super Bikkuriman']
animeCharacters	['Zeus, Super']
animeVoices	[]
animeStaff	[['Kaizawa, Yukio', 'Director'], ['Kakudou, Hiroyuki', 'Episode Director'], ['Endou, Yuuji', 'Episode Director'], ['Maruo, Keiko', 'Script']]
