animeTitle	Mini Dragon Specials
animeType	Special
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	7.63
animeUsers	5864
animeRank	
animePopularity	3609
animeDescription	Includes 3 special Mini Dragon episodes released within Kobayashi-san Chi no Maid Dragon S's broadcast period and 5 BD/DVD extras.
animeRelated	['Kobayashi-san Chi no Maid Dragon S', 'Mini Dragon']
animeCharacters	['Kamui, Kanna', 'Tooru', 'Kobayashi', 'Saikawa, Riko', 'Elma']
animeVoices	[]
animeStaff	[]
