animeTitle	Oni Chichi: Refresh♥
animeType	OVA
animeNumEpisode	4
releaseDate	2015-08-14 00:00:00
endDate	2017-04-28 00:00:00
animeNumMembers	
animeScore	6.85
animeUsers	6341
animeRank	
animePopularity	4340
animeDescription	Join Airi, Sana and her dad as they take a trip to the beach.
animeRelated	['Oni Chichi: Rebuild', 'Oni Chichi: Vacation']
animeCharacters	['Akizuki, Airi', 'Akizuki, Kouzou', 'Kuranaka, Sana']
animeVoices	['Igarashi, Hiromi']
animeStaff	[['Blue Gale', 'Original Creator'], ['Kinohara, Hikaru', 'Character Design']]
