animeTitle	Getsuyoubi no Tawawa Specials
animeType	Special
animeNumEpisode	2
releaseDate	2016-12-29 00:00:00
endDate	
animeNumMembers	
animeScore	6.59
animeUsers	16041
animeRank	
animePopularity	3237
animeDescription	"Two special episodes of Getsuyoubi no Tawawa included on Blu-ray.
1. Ukkarimono daga Aisare Jouzu no Kawaii Kouhai
2. Ai-chan to Private Film"
animeRelated	['Getsuyoubi no Tawawa']
animeCharacters	['Ai-chan', 'Kouhai-chan', 'Oniisan', 'Senpai']
animeVoices	['Harada, Sayaka', 'Kayano, Ai', 'Majima, Junji', 'Takumi, Yasuaki']
animeStaff	[['Himura, Kiseki', 'Original Creator']]
