animeTitle	Otome Chibaku Yuugi
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.39
animeUsers	1533
animeRank	
animePopularity	7103
animeDescription	"Kaoru is a high school student. He has a childhood friend, Nanao, at the same school. She has been giving him sexually insulting orders in front of other students and he has always obeyed them. But one day, his patience runs out and decides to take revenge on her.

While he still plans it, he accidentally witnesses Mayu, his classmate, shoplifting. He makes up his mind to use Mayu as his pawn...

(Source: ErogeShop)"
animeRelated	[]
animeCharacters	['Kaoru', 'Mimasaka, Nanao', 'Takano']
animeVoices	['Suzumura, Kenichi']
animeStaff	[['Koike, Ahiru', 'Script, Screenplay']]
