animeTitle	Kiniro Mosaic: Thank You!!
animeType	Movie
animeNumEpisode	1
releaseDate	2021-08-20 00:00:00
endDate	
animeNumMembers	8862
animeScore	
animeUsers	
animeRank	16757
animePopularity	5573
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Kiniro Mosaic: Pretty Days']
animeCharacters	['Kujou, Karen', 'Komichi, Aya', 'Cartelet, Alice', 'Inokuma, Youko', 'Oomiya, Shinobu']
animeVoices	[]
animeStaff	[['Nawa, Munenori', 'Director'], ['Touyama, Nao', 'Theme Song Performance'], ['Taneda, Risa', 'Theme Song Performance'], ['Uchiyama, Yumi', 'Theme Song Performance']]
