animeTitle	SOS Kochira Chikyuu
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16806
animeDescription	Based on the children's book Doubutsu Kaigi (Animal Conference). The film focuses on a human war (and possible nuclear war) is affecting the animals and how the animals have a conference to figure out how to save the world and get the humans to comply. The film is done entirely in puppet animation. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
