animeTitle	Gekiganger 3: The Movie
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.47
animeUsers	1818
animeRank	
animePopularity	7637
animeDescription	"Ken, Joe, and Akira, three high school students, must combine their three mecha into Gekiganger III to defeat the evil Prince Akara and Emperor Hyperion. The OAV is a compilation of the scenes from Nadesico, a new ""movie"", and is a parody of many mecha series from the 80s. 

(Source: ANN)"
animeRelated	['Kidou Senkan Nadesico']
animeCharacters	['Umitsubame, Joe', 'Tenku, Ken', 'Daichi, Akira']
animeVoices	['Ono, Kenichi', 'Madono, Mitsuaki', 'Tobita, Nobuo']
animeStaff	[['Sasaki, Isao', 'Theme Song Performance'], ['Nagai, Go', 'Creator'], ['Satou, Tatsuo', 'Original Creator'], ['Gotou, Keiji', 'Animation Director, Character Design']]
