animeTitle	Gonglyong Mecard
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14461
animeDescription	"Gonglyong Mecard is a spin-off-series of Mecard, based on the idea that dinosaurs didn't become extinct 65 million years ago, but transformed into mecanimals. Its characters don't have any relations to the cast from Turning Mecard, Turning Mecard W and Turning Mecard R.

(Source: Gonglyong Mecard Wikia)"
animeRelated	['Turning Mecard']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
