animeTitle	Boer no Mori e
animeType	Music
animeNumEpisode	1
releaseDate	2002-04-04 00:00:00
endDate	
animeNumMembers	136
animeScore	
animeUsers	
animeRank	15021
animePopularity	17223
animeDescription	A song about preserving ecology. Kenjiro Imawano created this song along with a picture book to reach out to the hearts of children so that they can grow up knowing that they are in charge of environmental protection.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
