animeTitle	Queen's Blade OVA Specials
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	3181
animeRank	
animePopularity	5466
animeDescription	Specials included in the Queen's Blade Premium Visual Book's DVDs.
animeRelated	"[""Queen's Blade OVA""]"
animeCharacters	['Alleyne', 'Sigui']
animeVoices	['Kitamura, Eri', 'Kobayashi, Yuu']
animeStaff	[['Oda, Non', 'Original Character Design'], ['Rinshin', 'Key Animation'], ['Ishibashi, Yukiko', 'Chief Animation Director'], ['Hobby Japan', 'Original Creator']]
