animeTitle	Chuunibyou demo Koi ga Shitai! Lite
animeType	ONA
animeNumEpisode	6
releaseDate	2012-09-27 00:00:00
endDate	2012-10-31 00:00:00
animeNumMembers	
animeScore	7.26
animeUsers	68199
animeRank	
animePopularity	1355
animeDescription	Short episodes aired on KyoAni's official YouTube channel.
animeRelated	['Chuunibyou demo Koi ga Shitai!', 'Chuunibyou demo Koi ga Shitai! Ren Lite']
animeCharacters	['Takanashi, Rikka', 'Dekomori, Sanae', 'Togashi, Yuuta', 'Nibutani, Shinka', 'Tsuyuri, Kumin', 'Togashi, Kuzuha', 'Togashi, Yumeha', 'Togashi, Mother', 'Tomo', 'Mika-chan']
animeVoices	['Uchida, Maaya', 'Uesaka, Sumire', 'Fukuyama, Jun', 'Akasaki, Chinatsu', 'Asakura, Azumi', 'Fukuhara, Kaori', 'Shitara, Mami', 'Amano, Yuri']
animeStaff	[['Ishihara, Tatsuya', 'Director'], ['Tsuruoka, Youta', 'Sound Director'], ['Nishioka, Maiko', 'Script'], ['ZAQ', 'Theme Song Lyrics, Theme Song Performance, Theme Song Composition, Theme Song Arrangement']]
