animeTitle	Hentatsu (TV)
animeType	TV
animeNumEpisode	12
releaseDate	2020-01-04 00:00:00
endDate	2020-03-21 00:00:00
animeNumMembers	
animeScore	5.15
animeUsers	1317
animeRank	
animePopularity	7101
animeDescription	"Hentatsu follows two girls exploring a seemingly abandoned version of Nakano Broadway, a Tokyo shopping mall known for Mandarake and other shops catering to fans of anime and other forms of pop culture.

(Source: AnimeNewsNetwork)"
animeRelated	['Hentatsu', 'Hentatsu (TV) Recap']
animeCharacters	['Oni', 'Neko']
animeVoices	['Takasugi, Kaoru', 'Kadowaki, Mai']
animeStaff	[['Tatsuki', 'Director'], ['Isa, Yoshihisa', 'Key Animation']]
