animeTitle	KutsuDaru.
animeType	TV
animeNumEpisode	48
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12632
animeDescription	"In a Tokyo suburb small town, there lives a girl named Nekota Kaoru. Being born into a normal family, being raised in a normal way, this spring she'll become a normal happy middle-schooler.

However, since young age, Nekota had an abnormal ability to see Imadoki youkai (Modern Monster). And she has kept it a secret from others..."
animeRelated	[]
animeCharacters	['Darudaru Kutsushita', 'Tachibana, Kurara', 'Karasawa, Rin', 'Maruo, Mikako', 'Nekota, Kaoru', 'Narrator', 'Morishita, Daniel']
animeVoices	['Hikida, Yukari', 'Shima, Yuika', 'Satou, Hinata', 'Kanai, Miki', 'Horiuchi, Marina', 'Inada, Tetsu', 'Suganuma, Hisayoshi']
animeStaff	[]
