animeTitle	Show By Rock!! Short!!
animeType	TV
animeNumEpisode	12
releaseDate	2016-07-05 00:00:00
endDate	2016-09-20 00:00:00
animeNumMembers	12314
animeScore	6.43
animeUsers	4427
animeRank	6501
animePopularity	4888
animeDescription	Happy-go-lucky short stories of daily lives of the band members of Plasmagica and ShinganCrimsonZ.
animeRelated	['Show By Rock!!', 'Show By Rock!! #']
animeCharacters	['Hijirikawa, Cyan', 'Crow', 'Retoree', 'Rom', 'Aion', 'Moa', 'Chuchu', 'Yaiba', 'Shu☆Zo', 'Darudayuu']
animeVoices	['Inagawa, Eri', 'Taniyama, Kishou', 'Numakura, Manami', 'Hosoya, Yoshimasa', 'Uchiyama, Kouki', 'Sakura, Ayane', 'Uesaka, Sumire', 'Kakihara, Tetsuya', 'Miyano, Mamoru', 'Han, Megumi']
animeStaff	[['Ikezoe, Takahiro', 'Director'], ['Glass, Caitlin', 'ADR Director'], ['Fukunaga, Gen', 'Executive Producer'], ['Machida, Touko', 'Series Composition']]
