animeTitle	b'Summertime Render'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'After his parents died, Shinpei Ajiro lived with the Kofune sisters, Mio and Ushio, but he has since moved to live on his own in Tokyo. But after Ushio drowns while trying to save the young Shiori Kobayakawa, he returns home to mourn her departure. However, bruises around Ushio\'s neck bring her cause of death into question.\n\nTaking a step back, Shinpei becomes convinced there must be another explanation. Dangerous entities roam among the islanders, and a vision of deceased Ushio asks him to ""save Mio"" as her final request. He is certain that something is afoot\xe2\x80\x94and Ushio\'s death is only a piece of the puzzle.\n\nWith the help of Mio and various others, Shinpei struggles to forge a future in which he, his friends, and family can stay alive. But the more he investigates, the more impossible such a future seems. This darkness infiltrates his home island. Just how much more suffering will he go through before finding the right path to save it all? \n\n[Written by MAL Rewrite]'"
animeRelated	[b'Summertime Render']
animeCharacters	[b'Ajiro, Shinpei', b'Kofune, Ushio', b'Kofune, Mio']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nWatanabe, Ayumu\n\nDirector\n\n', b'\nSeko, Hiroshi\n\nScript, Series Composition\n\n', b'\nOkabe, Keiichi\n\nMusic\n\n', b'\nHoashi, Keigo\n\nMusic\n\n']
