animeTitle	Monster Strike: Mermaid Rhapsody
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.71
animeUsers	809
animeRank	
animePopularity	8671
animeDescription	The episode follows Ren on his vacation in Okinawa. There, he meets a mysterious girl.
animeRelated	['Monster Strike']
animeCharacters	['Kiskill, Lyra', 'Homura, Ren', 'Oragon', 'Sakamoto, Ryouma', 'Kagetsuki, Akira', 'Wakaba, Minami', 'Mizusawa, Aoi', 'Dead Rabbits Ltd., Torin', 'Kamui', 'Napoleon']
animeVoices	['Hanazawa, Kana', 'Kobayashi, Yuusuke', 'Fukushima, Jun', 'Murata, Taishi', 'Kawanishi, Kengo', 'Kimura, Juri', 'Lynn', 'Hashimoto, Chinami', 'Suzuki, Eri']
animeStaff	[['WHITE ASH', 'Inserted Song Performance'], ['Chanohara, Takuya', 'Animation Director'], ['Takada, Mari', 'Character Design']]
