animeTitle	Oshare Majo Love and Berry: Shiawase no Mahou
animeType	Movie
animeNumEpisode	1
releaseDate	2007-03-21 00:00:00
endDate	
animeNumMembers	718
animeScore	
animeUsers	
animeRank	12619
animePopularity	11988
animeDescription	"A movie based on the popular fashion card and arcade dance game aimed at young girls. The movie features the magical Princesses Love and Berry, who posess Fashion Magic. While Love and Berry are best friends, they become rivals for attention when they're on the dance floor.

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	['Love', 'Berry', 'Shou', 'Yumi']
animeVoices	['Konno, Hiromi', 'Yanai, Hisayo', 'Kaida, Yuki', 'Yajima, Akiko']
animeStaff	[['Mochizuki, Tomomi', 'Director, Sound Director, Storyboard'], ['Otsuka, Ai', 'Theme Song Performance'], ['MOKA☆', 'Music'], ['Kadonosono, Megumi', 'Character Design']]
