animeTitle	Yume de Aetara
animeType	OVA
animeNumEpisode	3
releaseDate	1998-04-21 00:00:00
endDate	1998-12-19 00:00:00
animeNumMembers	
animeScore	6.41
animeUsers	1888
animeRank	
animePopularity	7140
animeDescription	"Yume de Aetara is a story about one guy Fuguno Masuo (a complete loser when it comes to relationship with women) and two girls: Shiozaki Nagisa and Hamaoka Miho. Since the story is pretty simple (and hilariously funny), further explanation will spoil everything (take the hint: watch it yourself!)

(Source: AniDB)"
animeRelated	['Yume de Aetara', 'Yume de Aetara (TV)']
animeCharacters	['Fuguno, Masuo', 'Shiozaki, Nagisa', 'Hamaoka, Miho', 'Namiko, Isobe']
animeVoices	['Yuuki, Hiro', 'Kingetsu, Mami', 'Konishi, Hiroko', 'Matsumoto, Rica']
animeStaff	[['Watanabe, Hiroshi', 'Director, Character Design'], ['Yoshinari, Kou', 'Key Animation'], ['Yamahana, Noriyuki', 'Original Creator'], ['Ooki, Ryouichi', 'Animation Director, Character Design']]
