animeTitle	Detective Conan OVA 05: The Target is Kogoro! The Detective Boys' Secret Investigation
animeType	OVA
animeNumEpisode	1
releaseDate	2005-01-01 00:00:00
endDate	
animeNumMembers	12767
animeScore	7.24
animeUsers	6420
animeRank	2684
animePopularity	4796
animeDescription	"Conan Edogawa and his classmates are assigned to do a class report about a small business of their choice. After discarding other possible topics, the Detective Boys concludes that it's a perfect opportunity to find out more about  Detective Kogorou Mouri's job.

Conan's friends refuse to settle for a simple interview though, as they want to experience first-hand all the details of his work. Thus, they, along with a reluctant Conan and Ai Haibara, decide to tail the renowned detective for a day. However, the kids soon get involved in a grim situation when Kogorou's current case takes an unexpected and dangerous turn.

[Written by MAL Rewrite]"
animeRelated	['Detective Conan']
animeCharacters	['Edogawa, Conan', 'Haibara, Ai', 'Mouri, Kogorou', 'Yoshida, Ayumi', 'Tsuburaya, Mitsuhiko', 'Kojima, Genta', 'Mouri, Ran', 'Agasa, Hiroshi', 'Kobayashi, Sumiko', 'Murakami, Masaya']
animeVoices	['Takayama, Minami', 'Hayashibara, Megumi', 'Kamiya, Akira', 'Iwai, Yukiko', 'Ootani, Ikue', 'Takagi, Wataru', 'Yamazaki, Wakana', 'Ogata, Kenichi', 'Katou, Yuuko', 'Ono, Daisuke']
animeStaff	[['Okuwaki, Masaharu', 'Storyboard'], ['Garnet Crow', 'Theme Song Performance'], ['Aoyama, Gosho', 'Original Creator'], ['Itoman, Akira', 'Background Art']]
