animeTitle	Bai Yao Pu
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.1
animeUsers	786
animeRank	
animePopularity	6618
animeDescription	"We follow the adventures of a mysterious young girl, accompanied by a young monk and a demon doctor. Together, they solve human problems and cure illnesses caused by demons and ghosts.

(Source: Anilist)"
animeRelated	['Bai Yao Pu 2nd Season']
animeCharacters	['Yao, Tao', 'Ya, Mo', 'Gonzi, Liu', 'Gungun', 'Bao Zhu, Xiao', 'Jin, Shu', 'Ji, Qing', 'Mayfly', 'Sweet Dragon']
animeVoices	[]
animeStaff	[]
