animeTitle	b'Hyper ERT'
animeType	b'TV'
animeNumEpisode	20
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'Hyper is a white dolphin who came from the future. In future, the earth has been highly polluted therefore Hyper is trying to change the history by going back to the 21 century and fight against his enemy, an octopus called ""Octopus"".'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
