animeTitle	Mukashi Keibanashi
animeType	TV
animeNumEpisode	4
releaseDate	2019-11-30 00:00:00
endDate	2019-12-21 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	16480
animeDescription	A fairytale and folklore parody anime focused on race horses. They take classic stories (like Momotarou or Cinderella) and put them in  race horse situations with the narrator voicing the action in typical fast-paced sports commentary. The anime is funded and promoted by the Japan Racing Association (JRA).
animeRelated	['Mukashi Keibanashi 2nd Season']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
