animeTitle	Sugar Foot
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18358
animeDescription	"In 2020, the outbreak of Covid-19 caused a global lock-down and restricted many activities and events in the world. This music video depicts the 'Great Space Robot Festival' that unfolds to avenge cancelled festivals and events, in the hope that humanity will be able to overcome the crisis and move towards a better world.

(Source: Official YouTube channel)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
