animeTitle	Kimi no Sumu Machi
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.02
animeUsers	470
animeRank	
animePopularity	10694
animeDescription	"Original short animation that aired as part of promotion for the event ""Bunkyo+Waseda Bungo Week"". The video aims to convey the appeal of Bunkyo and Waseda area in Tokyo."
animeRelated	[]
animeCharacters	['Wagahai', 'Phoebe']
animeVoices	['Ishikawa, Kaito', 'Hayami, Saori']
animeStaff	[]
