animeTitle	Ane to Boin
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.66
animeUsers	4484
animeRank	
animePopularity	5083
animeDescription	Keisuke lives in with 10 sisters, they all have great bodies and boobs, but he can't touch them because they're relatives... or can he, follow him on his quest to have sex with all of his sisters.
animeRelated	['Ane to Boin']
animeCharacters	['Hanamaru, Keisuke', 'Hanamaru, Ringo', 'Hanamaru, Tokiko', 'Hanamaru, Mikan', 'Hanamaru, Rurith', 'Hanamaru, Momoko', 'Hanamaru, Biwa', 'Hanamaru, Remon', 'Hanamaru, Anne', 'Hanamaru, Kaoruko']
animeVoices	['Hitomi', 'Wada, Kayo', 'Nishizawa, Hiroka', 'Sakurai, Harumi']
animeStaff	[['Murakami, Kotaro', 'Producer'], ['Araki, Hideki', 'Director, Character Design'], ['Nakagawa, Tatsuto', 'Sound Director'], ['Momoi, Osamu', 'Script']]
