animeTitle	The Everlasting Guilty Crown
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.79
animeUsers	15355
animeRank	
animePopularity	3203
animeDescription	"""The Everlasting Guilty Crown"" is the second single by the music group EGOIST and is used as the second opening theme song of Guilty Crown. The limited edition release includes a DVD with a music video of the song's TV edit, animated in 3D CGI."
animeRelated	['Guilty Crown']
animeCharacters	['Yuzuriha, Inori']
animeVoices	[]
animeStaff	[['Yamamoto, Kouji', 'Producer'], ['Kimura, Makoto', 'Producer'], ['EGOIST', 'Theme Song Performance'], ['ryo', 'Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement']]
