animeTitle	Ingoku Byoutou
animeType	OVA
animeNumEpisode	2
releaseDate	2002-08-09 00:00:00
endDate	2002-11-15 00:00:00
animeNumMembers	1789
animeScore	5.75
animeUsers	520
animeRank	
animePopularity	9725
animeDescription	"Jyunichi thought he had it made. He was all set to take over his boss' cushy job as President of Misono General Hospital... but then Serika appeared. Serika just happens to be the President's daughter, she had been studying in the same field as Jyunichi and was posed to take over as President of the hospital. Outraged, Jyunichi has come up with a devious plan to take over the hospital,even if it means taking it over one Nurse at a time.

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
