animeTitle	Manga Hajimete Monogatari
animeType	TV
animeNumEpisode	305
releaseDate	1978-05-06 00:00:00
endDate	1984-03-31 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12968
animeDescription	"An educational program for children featuring various historical events, showing both animation and live action footage. A reoccurring ""older sister"" and the pink mole Mogutan, will take you on a journey through time. "
animeRelated	['Manga Doushite Monogatari', 'Manga Hajimete Monogatari OVA']
animeCharacters	['Mogutan']
animeVoices	[]
animeStaff	[['Yotsuji, Takao', 'Episode Director'], ['Furuta, Yoshiaki', 'Theme Song Arrangement']]
