animeTitle	b'Mi-da-ra'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.6
animeUsers	486
animeRank	
animePopularity	
animeDescription	"b""A tale of forbidden lust based on the popular Japanese Hentai game Mi Da Ra. \n\nWhen a young man named Yuuto bumps into a stranger on the street, he discovers a dropped VHS tape and brings it home. His sister Yumi isn't around, so he pops it in for a look. The video is a recording of Yumi tied to a chair ...and shockingly the man who tied her up turns out to be him! \n\nIt turns out the tape is a window into the secret desires of the viewer, and Yuuto's quickly addicted! Yumi also discovers her own fantasies on the cassette, and her burning lust cannot be quelled by conventional means! Finally, when his sister's friend discovers the tape, she finds herself on her knees with Yumi and attending to Master Yuuto's every need as his personal love slave. \n\n(Source: AniDB) """
animeRelated	[]
animeCharacters	[b'Hashiba, Yuumi', b'Hashiba, Yuuto']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nMink\n\nOriginal Creator\n\n']
