animeTitle	Hanakappa
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12609
animeDescription	Story about Kappa with flowers on their heads.
animeRelated	"['Hanakappa Movie: Hanasake! Pakkaan♪ Chou no Kuni no Daibouken', ""That's Hanakappa Musical: Pan to Gohan, Docchi nano!?""]"
animeCharacters	['Hanakappa']
animeVoices	['Nakagawa, Rie']
animeStaff	[['Nonaka, Kazumi', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Okada, Kenjirou', 'Episode Director'], ['Takahashi, Hideya', 'Episode Director, Storyboard']]
