animeTitle	Korogashi Ryouta
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14508
animeDescription	"Takao Ryota is a pervy but well-meaning biker-turned-bus driver who street-races with others, fights roughnecks from his past, and mistreats his equally pervy friend. He must play knight, however, when his love interest is kidnapped by thugs.

(Source: ANN)"
animeRelated	['Korogashi Ryouta']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
