animeTitle	Magical★Taruruuto-kun Movie
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13919
animeDescription	First movie of Magical Taruruuto-kun
animeRelated	['Magical★Taruruuto-kun', 'Magical★Taruruuto-kun: Moeru! Yuujou no Mahou Taisen']
animeCharacters	['Taruruuto', 'Edojou, Honmaru', 'Ijigawa, Rui', 'Jaba, Jabao', 'Kawai, Iyona']
animeVoices	['Tarako', 'Takayama, Minami', 'Shioya, Yoku', 'Touma, Yumi']
animeStaff	[['Yamauchi, Shigeyasu', 'Director, Storyboard'], ['Kakudou, Hiroyuki', 'Director'], ['Egawa, Tatsuya', 'Theme Song Lyrics, Original Creator'], ['Ikuhara, Kunihiko', 'Assistant Director']]
