animeTitle	b'Xiong Chumo: Qihuan Kongjian'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The story follows an elite team of thieves, sent by a notorious treasure hunter from the real world to the animated realm to steal each universe\xe2\x80\x99s most prized and powerful item. On learning of this evil plan that would destroy the cartoon world, the bear brothers, along with Logger Vick, join forces with a sassy archaeological robot and set out on a journey to save their world and find the Deer Clan\xe2\x80\x99s legendary Golden Antlers before the villains do. From Pine Tree Mountain to the mysterious Deer Clan Forest, this ragtag group encounter many strange and wonderful creatures, including the keeper of the forest, a magical woodland girl from the Deer Clan. \n\nTime is running out! Who will make it to the Golden Antlers first? Will the Boonie Bears\xe2\x80\x99 World be saved? Follow us down the portal on an unforgettable adventure through these entangled worlds!\n\n(Source: Official YouTube Channel)'
animeRelated	[b'Xiong Chumo: Qiu Ri Tuantuanzhuan']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
