animeTitle	Tsuki no Sango
animeType	Movie
animeNumEpisode	1
releaseDate	2010-12-21 00:00:00
endDate	
animeNumMembers	4713
animeScore	6.14
animeUsers	1445
animeRank	7995
animePopularity	7169
animeDescription	"The story takes place in approximately the year 3000, when humankind arrived at the peak of its civilization, but is losing its will to keep living. It follows a girl, called ""princess"" by those around her, who lives on a small island with a fifty-person colony and a shining coral reef. She is a descendant of the Moon people, and the story focuses on how her ancestors supposedly came to Earth. "
animeRelated	['Tsuki no Sango']
animeCharacters	['Kataribe no Shoujo', 'Tsuki no Musume', 'Kobito', 'Chikyuu no Otoko']
animeVoices	[]
animeStaff	[['Nasu, Kinoko', 'Original Creator'], ['Takeuchi, Takashi', 'Original Character Design'], ['Chopin, Frédéric', 'Music']]
