animeTitle	Higepiyo
animeType	TV
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	7.1
animeUsers	2055
animeRank	
animePopularity	6679
animeDescription	Higepiyo is a little chick with a mustache, who is seeking to aquire masculinity with his friend Hiroshi but ends up being entangled with a skin of heated milk.
animeRelated	[]
animeCharacters	['Higepiyo', 'Haneda, Hiroshi', 'Kumano, Kazuo', 'Katou', 'Mama', 'Papa']
animeVoices	['Park, Romi', 'Kobayashi, Yuu', 'Kumai, Motoko', 'Sugita, Tomokazu', 'Arai, Satomi', 'Miyashita, Eiji']
animeStaff	[['Takeyama, Atsushi', 'Director'], ['Tanaka, Kazuya', 'Sound Director'], ['Kanesugi, Hiroko', 'Script'], ['Kaneko, Shingo', 'Storyboard']]
