animeTitle	Karadasagashi
animeType	ONA
animeNumEpisode	10
releaseDate	
endDate	
animeNumMembers	
animeScore	5.7
animeUsers	147
animeRank	
animePopularity	7343
animeDescription	"""Hey, Asuka... search for my body."" 

At school in the middle of the night, Asuka and her friends search for the scattered body-parts. If they don't find the entire body, the 9th of November is repeated and the red person will continue to kill them. Who is the red person?

(Source: MU)"
animeRelated	['Karadasagashi']
animeCharacters	['Ise, Takahiro', 'Morisaki, Asuka', 'Naruto, Rie', 'Uranishi, Shouta', 'Hiiragi, Rumiko', 'Red Person', 'Sugimoto, Kenji', 'Mikami, Haruka']
animeVoices	['Eguchi, Takuya', 'Asumi, Kana', 'Asahina, Madoka', 'Nishiyama, Koutarou', 'Aoyama, Reina', 'Tanaka, Aimi', 'Umehara, Yuuichirou', 'Orie, Tamaki']
animeStaff	[['Koizumi, Kisuke', 'Sound Director'], ['Murase, Katsutoshi', 'Original Character Design'], ['Welzard', 'Original Creator']]
