animeTitle	Dondon Dommel to Ron
animeType	TV
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.66
animeUsers	390
animeRank	
animePopularity	11339
animeDescription	"Dommel is a lazy dog who does nothing more than eating and sleeping. His owner, Semafoor, is an inventor of the strangest things you could imagine. Together this becomes a mix for some funny events.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Ron', 'Dommel', 'Police', 'Blacky', 'Bob', 'Beatrice', 'Cherry']
animeVoices	['Kimotsuki, Kaneta', 'Yamadera, Kouichi', 'Matsumoto, Rica', 'Tarako', 'Sugiyama, Kazuko', 'Tominaga, Miina']
animeStaff	[['Sasagawa, Hiroshi', 'Director'], ['Kramer, Steve', 'Script'], ['Arisawa, Takanori', 'Music']]
