animeTitle	Show by Rock!! Stars!!
animeType	TV
animeNumEpisode	12
releaseDate	2021-01-07 00:00:00
endDate	2021-03-25 00:00:00
animeNumMembers	
animeScore	7.06
animeUsers	1927
animeRank	
animePopularity	5636
animeDescription	"""All stars"" season of Show by Rock!! featuring all the bands from previous seasons."
animeRelated	['Show By Rock!! Mashumairesh!!']
animeCharacters	['Hijirikawa, Cyan', 'Retoree', 'Howan', 'Moa', 'Chuchu', 'Mashima, Himeko', 'Delmin', 'Ruhuyu', 'Crow', 'Rom']
animeVoices	['Inagawa, Eri', 'Numakura, Manami', 'Toono, Hikaru', 'Sakura, Ayane', 'Uesaka, Sumire', 'Natsuyoshi, Yuuko', 'Watada, Misaki', 'Yamane, Aya', 'Taniyama, Kishou', 'Hosoya, Yoshimasa']
animeStaff	[['Ikezoe, Takahiro', 'Director'], ['Yamagishi, Daigo', 'Director'], ['Gou, Fumiyuki', 'Sound Director'], ['Machida, Touko', 'Series Composition']]
