animeTitle	Urashima Tarou (1931)
animeType	Movie
animeNumEpisode	1
releaseDate	1931-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	4.56
animeUsers	1086
animeRank	
animePopularity	9663
animeDescription	"Urashima Taro is based on a well-known Japanese folk tale about an honest fisherman who is invited to an underwater castle after saving a sea turtle on a beach from bullies.

(Source: forum.bcdb.com)"
animeRelated	['Urashima Tarou (supposed title)', 'Urashima Tarou (1952)']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
