animeTitle	Parasol Henbei
animeType	TV
animeNumEpisode	200
releaseDate	1989-10-02 00:00:00
endDate	1991-01-28 00:00:00
animeNumMembers	
animeScore	6.05
animeUsers	149
animeRank	
animePopularity	12886
animeDescription	"All children dream to have a friend straight from a fairy tale... A little boy opens his closet and finds a strange creature with a parasol sitting in there. Nobody knows how he got there and from what mysterious worlds he is, but it is a fast friendship from the beginning. And nobody can ever know... 

(Source: ANN) "
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
