animeTitle	Anisava
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.69
animeUsers	226
animeRank	
animePopularity	12300
animeDescription	"Welcome to the concrete jungle, where it’s a struggle to survive among the animals of the city. Watch Jake the bear, Jenny the cat and their cast of slightly crazy friends as they live, love and try to stay sane in a wild world.

(Source: Official website)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
