animeTitle	Ushiro no Hyakutarou
animeType	OVA
animeNumEpisode	2
releaseDate	1991-08-21 00:00:00
endDate	1991-10-21 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14778
animeDescription	"Horror OVA based on the manga by Jirou Tsunoda. The title roughly means ""Hyakutarou behind"". 

A boy named Ichitarou Ushiro deals with various horrifying phenomena with the help of his guardian spirit Hyakutarou. 

2 episodes: ""Kokkuri Satsujin Jiken"", ""Yuutai Ridatsu"". 

(Source: AniDB) "
animeRelated	['Kyoufu Shinbun']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
