animeTitle	Chou Shounen Tanteidan Neo
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	5.26
animeUsers	259
animeRank	
animePopularity	8981
animeDescription	The series will follow the descendant of Kobayashi from Edogawa Ranpo's series of detective novels.
animeRelated	[]
animeCharacters	['Akechi 7th, Kogorou', 'Nijuumensou 7th, Kaijin', 'Hanasaki, Mayumi', 'Kobayashi 7th, Shounen', 'Neko, Fujin', 'Inoue-kun', 'Noro-chan']
animeVoices	['Hosoya, Yoshimasa', 'Eguchi, Takuya', 'Uesaka, Sumire', 'Kimura, Ryouhei', 'Hanazawa, Kana', 'Horii, Chado', 'Kuno, Misaki']
animeStaff	[['Oomiya, Kazuhito', 'Director, Series Composition'], ['Amano, Yoshitaka', 'Character Design']]
