animeTitle	Nihon Meisaku Douwa Series: Akai Tori no Kokoro
animeType	TV
animeNumEpisode	26
releaseDate	1979-02-05 00:00:00
endDate	1979-07-30 00:00:00
animeNumMembers	422
animeScore	
animeUsers	
animeRank	12371
animePopularity	13430
animeDescription	"A collection of children's stories originally printed in the popular magazine Akai Tori, which was published from 1918 to 1936.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Yoshikichi']
animeVoices	[]
animeStaff	[['Shibayama, Tsutomu', 'Director'], ['Yabuki, Kimio', 'Director'], ['Kabashima, Yoshio', 'Director'], ['Dazai, Osamu', 'Original Creator']]
