animeTitle	Cream Lemon: Lemon Angel
animeType	TV
animeNumEpisode	37
releaseDate	
endDate	
animeNumMembers	
animeScore	5.44
animeUsers	617
animeRank	
animePopularity	8215
animeDescription	"Franchise combining a real life idol trio and limited animation short stories, with their cartoon alter egos thrown into various bizarre and generally sexual situations.

(Source: AniDB)"
animeRelated	['Cream Lemon', 'Lemon Angel (1988)', 'Lemon Angel YJ-ban']
animeCharacters	['Sakurai, Tomo']
animeVoices	['Sakurai, Tomo']
animeStaff	[['Yamasaki, Osamu', 'Director, Script'], ['Ide, Yasunori', 'Director']]
