animeTitle	Manga Kodomo Bunko
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14646
animeDescription	"A collection of children's stories and tales from traditional Japanese folklore.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Narrator']
animeVoices	['Kishida, Kyouko']
animeStaff	[['Maeda, Tsuneo', 'Director'], ['Kobayashi, Osamu', 'Episode Director'], ['Higuchi, Masakazu', 'Episode Director'], ['Columbia Yurikago Kai', 'Theme Song Performance, Inserted Song Performance']]
