animeTitle	Windows Tablet no Uta
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.5
animeUsers	124
animeRank	
animePopularity	15745
animeDescription	In 2014, Microsoft Japan commissioned Manabu Himeda to create a web commercial for their Windows 2 in 1 PCs. In the musically-driven performance, Himeda acts out choreographed movements in real time to interact with an animated video he created that is being projected on the wall behind him.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
