animeTitle	Akuei to Gacchinpo
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14762
animeDescription	Surreal gag-packed story about curious kid and his companions.
animeRelated	['Akuei to Gacchinpo The Movie: Chelsea no Gyakushuu/Akuei to Mahou no Hammer', 'Akuei to Gacchinpo: Tenkomori']
animeCharacters	['Akuei', 'Claus, Santa']
animeVoices	['Shibahara, Chiyako']
animeStaff	[['Ueda, Masuo', 'Producer'], ['Makiya, Tsutomu', 'Director'], ['Tada, Akifumi', 'Music'], ['Takeuchi, Shigekazu', 'Planning']]
