animeTitle	Namakura Gatana: Kunoichi-hen
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	4.7
animeUsers	453
animeRank	
animePopularity	11318
animeDescription	"Namakura Gatana's 100th anniversary has now been honored with a ""Kunoichi Chapter"" sequel from noted anime shorts director Akitarou Daichi.

Like a lot of his personal pieces, it's a bit crude...

(Source: Crunchyroll)"
animeRelated	['Namakura Gatana']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
