animeTitle	Original Video Romance Animation
animeType	OVA
animeNumEpisode	2
releaseDate	1984-11-30 00:00:00
endDate	1984-12-22 00:00:00
animeNumMembers	533
animeScore	4.94
animeUsers	130
animeRank	
animePopularity	12794
animeDescription	One of the first erotic OVA. Released in 1984 by the company Let's, the characters from this animation have the names of famous Japanese Pop singers of the 1980s: Seiko Matsuda (Vol. 1) and Akina Nakamori (Vol. 2).
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
