animeTitle	Feng Ling Yu Xiu
animeType	ONA
animeNumEpisode	12
releaseDate	2017-03-31 00:00:00
endDate	2021-02-27 00:00:00
animeNumMembers	1725
animeScore	6.88
animeUsers	174
animeRank	4279
animePopularity	9858
animeDescription	It is rumored in the martial world that a mystery white-haired girl suddenly appeared around the thief Feng Ling Er. She is so powerful that many martial arts masters can't defeat her. The girl's identity, the source of her power and her influence to the world all caused discussion among the public. But Feng Ling Er and the white-haired girl named Bai Yu Xiu never care about it. They travel the world with pleasure, unaware of a great conspiracy coming towards them.
animeRelated	[]
animeCharacters	['Feng, Linger', 'Bai, Yuxiu']
animeVoices	[]
animeStaff	[]
