animeTitle	Girls & Panzer: Shoukai Shimasu!
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.65
animeUsers	9123
animeRank	
animePopularity	4182
animeDescription	Specials aired between episodes five and six and episodes ten and eleven, both recapitulation episodes.
animeRelated	['Girls & Panzer']
animeCharacters	['Akiyama, Yukari', 'Reizei, Mako', 'Nishizumi, Miho', 'Isuzu, Hana', 'Takebe, Saori', 'Darjeeling', 'Matsumoto, Riko', 'Kei', 'Kadotani, Anzu', 'Kawashima, Momo']
animeVoices	['Nakagami, Ikumi', 'Iguchi, Yuka', 'Fuchigami, Mai', 'Ozaki, Mami', 'Kayano, Ai', 'Kitamura, Eri']
animeStaff	[['Kayano, Ai', 'Theme Song Performance'], ['Iguchi, Yuka', 'Theme Song Performance'], ['Fuchigami, Mai', 'Theme Song Performance'], ['ChouCho', 'Theme Song Performance']]
