animeTitle	Kochouki: Wakaki Nobunaga
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	6749
animeRank	
animePopularity	3641
animeDescription	"The series is a historical drama aesthetically and boldly adapting the life of Oda Nobunaga in his teens up to his time as a warlord against his brother, Nobuyuki.

(Source: MAL News)"
animeRelated	[]
animeCharacters	['Oda, Nobunaga', 'Oda, Nobukatsu', 'Ikeda, Tsuneoki', 'Kichou', 'Sakuma, Morishige', 'Yaraj', 'Sakuma, Nobumori', 'Saitou, Yoshitatsu', 'Saitou, Dousan', 'Rokurousaburou']
animeVoices	['Kobayashi, Yuusuke', 'Ishikawa, Kaito', 'Uchida, Yuuma', 'Hanamori, Yumiri', 'Tamaru, Atsushi', 'Takahashi, Shinya', 'Kimura, Ryouhei', 'Kashii, Shouto', 'Genda, Tesshou', 'Uenishi, Teppei']
animeStaff	"[['Abe, Noriyuki', 'Director'], ['Ueno, Takehiro', 'Episode Director'], ['Sasano, Megumu', 'Script'], [""May'n"", 'Theme Song Performance']]"
